mouse	ensembl2	lower_anatomicalEntity
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11578	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11578	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11578	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11578	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11578	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC11578	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02473	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02473	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02473	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02473	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02473	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02473	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02481	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02481	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02481	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02481	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02481	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02481	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02449	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02449	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02449	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02449	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02449	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02449	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02488	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02488	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02488	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02488	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02488	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02464	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02488	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02464	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02464	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02464	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02464	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02464	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02485	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02485	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02485	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02485	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02485	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02485	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02484	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02484	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02484	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02484	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02484	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02484	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10866	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10866	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10866	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10866	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10866	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10866	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02466	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02466	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02466	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02466	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02466	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02466	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02479	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02479	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02479	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02479	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02479	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02479	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02450	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02450	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02450	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02450	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02450	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02586	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02450	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02586	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02586	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02586	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02586	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02586	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02460	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02460	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02460	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02460	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02460	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02460	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02451	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02451	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02451	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02451	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02451	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02451	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02475	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02475	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02475	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02475	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02475	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02475	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC01088	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC01088	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC01088	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC01088	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC01088	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC01088	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02487	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0000014
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02487	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001511
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02487	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0003532
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02487	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001416
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02487	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0001419
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02487	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000174775	http://purl.obolibrary.org/obo/UBERON_0002097
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02300	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171862	http://purl.obolibrary.org/obo/UBERON_0004263
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02300	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171862	http://purl.obolibrary.org/obo/UBERON_0003531
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02301	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171862	http://purl.obolibrary.org/obo/UBERON_0003531
http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02301	http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171862	http://purl.obolibrary.org/obo/UBERON_0004263
